service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S96727_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S96727_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S96727_474,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S96727_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125260_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S125260_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125260_474,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S125260_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96728_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125261_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S105276_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125262_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96730_474,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125263_474,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96731_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S96731_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125264_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125264_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96732_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125265_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96733_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S96733_474,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S96733_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125266_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125266_474,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S125266_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96734_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125267_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96735_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S96735_474,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S96735_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125268_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125268_474,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S125268_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96736_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125269_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96737_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S96737_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125270_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125270_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S47337_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S96798_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S100368_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125453_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96785_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125454_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S117087_13,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S126886_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S126887_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S117101_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S117101_21,0,0,0,0,0,0,1,2026-06-23,2026-07-04
S117101_14,0,0,0,0,0,1,0,2026-06-23,2026-07-04
S117101_13,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S125952_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S125952_21,0,0,0,0,0,0,1,2026-07-05,2026-09-21
S125952_14,0,0,0,0,0,1,0,2026-07-05,2026-09-21
S125952_13,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S117102_21,0,0,0,0,0,0,1,2026-06-23,2026-07-04
S117102_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S117102_14,0,0,0,0,0,1,0,2026-06-23,2026-07-04
S125953_21,0,0,0,0,0,0,1,2026-07-05,2026-09-21
S125953_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S125953_14,0,0,0,0,0,1,0,2026-07-05,2026-09-21
S117103_15,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S125954_15,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S117104_15,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S125955_15,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S117105_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S117105_14,0,0,0,0,0,1,0,2026-06-23,2026-07-04
S117105_13,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S125956_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S125956_14,0,0,0,0,0,1,0,2026-07-05,2026-09-21
S125956_13,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S117106_19,0,0,1,0,0,0,0,2026-06-23,2026-07-04
S117106_42,1,1,0,1,1,0,0,2026-06-23,2026-07-04
S125957_19,0,0,1,0,0,0,0,2026-07-05,2026-09-21
S125957_42,1,1,0,1,1,0,0,2026-07-05,2026-09-21
S117107_15,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S125958_15,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S118491_477,0,0,0,0,0,1,0,2026-06-23,2026-07-04
S118491_930,0,0,0,0,0,0,1,2026-06-23,2026-07-04
S118491_493,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S118492_477,0,0,0,0,0,1,0,2026-06-23,2026-07-04
S118492_930,0,0,0,0,0,0,1,2026-06-23,2026-07-04
S118492_493,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S120025_32,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S128555_32,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S120026_32,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S128556_32,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S120027_32,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S120027_13,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S128557_32,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S128557_13,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S120028_15,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S128558_15,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S121896_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S121896_14,0,0,0,0,0,1,0,2026-06-23,2026-07-04
S121896_13,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S128568_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S128568_14,0,0,0,0,0,1,0,2026-07-05,2026-09-21
S128568_13,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S121897_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S128569_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S117067_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S128570_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S121898_15,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S128571_15,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S121899_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S128572_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S121900_15,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S128573_15,1,1,1,1,1,0,0,2026-07-05,2026-09-21
S118550_32,1,1,1,1,1,0,0,2026-06-23,2026-07-04
S118550_21,0,0,0,0,0,0,1,2026-06-23,2026-07-04
S118550_796,1,1,1,1,0,0,0,2026-06-23,2026-07-04
S118550_14,0,0,0,0,0,1,0,2026-06-23,2026-07-04
S118550_10,0,0,0,0,1,0,0,2026-06-23,2026-07-04
S126230_32,1,1,1,1,1,0,0,2026-07-05,2026-09-21
