location_type,parent_station,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,supported_modes,iptiscode,_has_coordinates
0,,15792,15792,Bottlebrush Dr After Telstar Dr,,-31.8810705555555,115.933450555556,2,Bus,,True
0,,15793,15793,Bottlebrush Dr After Challenger Av,,-31.8779477777778,115.932761111111,2,Bus,,True
0,,15794,15794,Wheatstone Dr After Marconi St,,-31.8849888888889,115.927624444444,2,Bus,,True
0,,15795,15795,Wheatstone Dr After Aerial Pl,,-31.8852716666667,115.931037777778,2,Bus,,True
0,,15796,15796,Wheatstone Dr After Discovery Dr,,-31.8852766666666,115.934052777778,2,Bus,,True
0,,15797,15797,Wheatstone Dr After Aussat Dr,,-31.88535,115.933813333333,2,Bus,,True
0,,15798,15798,Wheatstone Dr After Discovery Dr,,-31.8853588888889,115.931313888889,2,Bus,,True
0,,15799,15799,Aussat Dr After Wheatstone Dr,,-31.8863510292,115.936209685,2,Bus,,True
0,,15800,15800,Aussat Dr After Forrest Ct,,-31.8864093866,115.936436975,2,Bus,,True
0,,15801,15801,Penzance St After Walter Rd,,-31.8951655555555,115.939303888889,2,Bus,,True
0,,15802,15802,Penzance St After Ireland Wy,,-31.8983685447,115.939265581,2,Bus,,True
0,,15803,15803,Penzance St After Anzac Tce,,-31.9002205555556,115.939251111111,2,Bus,,True
0,,15804,15804,Penzance St Before Anzac Tce,,-31.8993255555555,115.939168333333,2,Bus,,True
0,,15805,15805,Penzance St Before Walter Rd,,-31.8952101305,115.939170884,2,Bus,,True
0,,15812,15812,Maidstone Wy Hampton Senior High School,Hampton Senior High School,-31.8921110919,115.925387447,2,Bus,,True
0,,15813,15813,Broadway   After Somerton Rd,,-31.9010603421,115.933986065,2,Bus,,True
0,,15814,15814,Broadway   After Chesterton Rd,,-31.901652502,115.93622386,2,Bus,,True
0,,15815,15815,Broadway   After Penzance St,,-31.9025722222222,115.939967777778,2,Bus,,True
0,,15816,15816,Broadway   After Iolanthe St,,-31.9025883333333,115.942175,2,Bus,,True
0,,15817,15817,Broadway   After Ida St,,-31.9026983333333,115.943568333333,2,Bus,,True
0,,15818,15818,Broadway   After Iolanthe St,,-31.9026761111111,115.939743888889,2,Bus,,True
0,,15819,15819,Broadway   After Troy St,,-31.9016022774,115.935761076,2,Bus,,True
0,,15820,15820,Broadway   After Chesterton Rd,,-31.9011289252,115.933918047,2,Bus,,True
0,,15824,15824,Collier Rd After May Holman Dr,,-31.9054162981,115.940703009,2,Bus,,True
0,,15825,15825,Collier Rd After Dyer Rd,,-31.9047047239,115.936163318,2,Bus,,True
0,,15826,15826,Collier Rd After Fairford St,,-31.9058015663,115.931915227,2,Bus,,True
0,,15829,15829,Collier Rd After Doherty St,,-31.903771766,115.913835556,1,Bus,,True
